Image,question,answer
2085,What is the shape of the object that is furthest from the gray object?,square
14958,Is the yellow object on the top or on the bottom?,bottom
11507,Is the red object on the left or on the right?,right
5798,Is the yellow object on the left or on the right?,right
1289,What is the shape of the blue object?,circle
8079,What is the shape of the object that is furthest from the green object?,square
2342,What is the shape of the object that is furthest from the red object?,square
9340,Is the blue object on the left or on the right?,left
12454,Is the yellow object on the top or on the bottom?,bottom
17523,What is the color of the object that is closest to the gray object?,red
18493,What is the color of the object that is closest to the green object?,yellow
677,What is the color of the object that is closest to the yellow object?,gray
19161,What is the color of the object that is closest to the red object?,gray
2132,What is the shape of the object that is furthest from the red object?,square
4865,Is the red object on the top or on the bottom?,bottom
324,What is the shape of the object that is furthest from the gray object?,circle
19748,What is the color of the object that is closest to the red object?,gray
5628,What is the shape of the object that is furthest from the blue object?,circle
8213,What is the shape of the object that is furthest from the yellow object?,square
13685,Is the blue object on the top or on the bottom?,bottom
18196,What is the color of the object that is closest to the green object?,yellow
1307,What is the shape of the object that is furthest from the blue object?,square
17388,What is the color of the object that is closest to the green object?,gray
12394,What is the color of the object that is closest to the red object?,gray
19140,What is the color of the object that is closest to the blue object?,green
11286,Is the gray object on the left or on the right?,right
523,What is the shape of the green object?,circle
14341,Is the red object on the top or on the bottom?,top
8663,Is the blue object on the left or on the right?,left
2293,What is the shape of the object that is furthest from the yellow object?,square
13609,Is the green object on the top or on the bottom?,bottom
1981,What is the shape of the object that is furthest from the gray object?,square
15475,What is the color of the object that is closest to the blue object?,gray
19319,What is the color of the object that is closest to the red object?,yellow
1983,What is the color of the object that is closest to the yellow object?,blue
1914,What is the shape of the yellow object?,circle
10546,Is the red object on the top or on the bottom?,top
15538,What is the color of the object that is closest to the red object?,green
19101,What is the color of the object that is closest to the yellow object?,green
19494,What is the color of the object that is closest to the red object?,blue
8785,What is the shape of the object that is furthest from the yellow object?,square
6882,What is the color of the object that is closest to the gray object?,blue
18885,What is the color of the object that is closest to the yellow object?,red
6299,What is the color of the object that is closest to the yellow object?,blue
19570,What is the color of the object that is closest to the green object?,gray
8029,What is the shape of the gray object?,square
13489,What is the color of the object that is closest to the blue object?,green
17371,What is the color of the object that is closest to the blue object?,gray
1365,What is the shape of the object that is furthest from the red object?,circle
14331,What is the color of the object that is closest to the red object?,yellow
5192,What is the shape of the object that is furthest from the blue object?,square
12902,What is the color of the object that is closest to the yellow object?,blue
12013,Is the yellow object on the top or on the bottom?,top
10916,What is the color of the object that is closest to the red object?,yellow
9325,Is the yellow object on the left or on the right?,left
8891,Is the green object on the left or on the right?,left
13049,Is the yellow object on the left or on the right?,right
12120,Is the blue object on the left or on the right?,left
18533,What is the color of the object that is closest to the red object?,yellow
5950,Is the red object on the left or on the right?,left
7296,What is the shape of the object that is furthest from the blue object?,square
8953,Is the blue object on the left or on the right?,right
2950,What is the shape of the object that is furthest from the red object?,circle
3901,Is the yellow object on the left or on the right?,left
6826,What is the color of the object that is closest to the blue object?,green
4638,What is the shape of the object that is furthest from the gray object?,circle
15592,Is the green object on the left or on the right?,right
19534,What is the color of the object that is closest to the red object?,green
320,What is the color of the object that is closest to the gray object?,red
18399,What is the color of the object that is closest to the red object?,gray
14126,Is the gray object on the top or on the bottom?,bottom
14859,Is the gray object on the left or on the right?,left
10461,Is the green object on the left or on the right?,right
6971,Is the red object on the top or on the bottom?,bottom
9588,What is the color of the object that is closest to the red object?,gray
18796,What is the color of the object that is closest to the gray object?,red
9118,Is the green object on the top or on the bottom?,top
1503,What is the shape of the gray object?,square
8210,Is the gray object on the top or on the bottom?,top
17993,What is the color of the object that is closest to the gray object?,green
1718,Is the gray object on the left or on the right?,right
7041,What is the color of the object that is closest to the gray object?,green
3056,What is the shape of the object that is furthest from the red object?,circle
17404,What is the color of the object that is closest to the red object?,blue
14275,What is the color of the object that is closest to the red object?,gray
23,What is the shape of the object that is furthest from the gray object?,circle
19450,What is the color of the object that is closest to the red object?,green
6897,What is the color of the object that is closest to the blue object?,gray
18532,What is the color of the object that is closest to the green object?,yellow
13083,Is the blue object on the left or on the right?,left
16589,Is the yellow object on the left or on the right?,right
18412,What is the color of the object that is closest to the red object?,yellow
12758,Is the green object on the left or on the right?,right
1018,What is the shape of the object that is furthest from the blue object?,circle
19959,What is the color of the object that is closest to the yellow object?,gray
13711,What is the color of the object that is closest to the yellow object?,red
16494,What is the color of the object that is closest to the green object?,gray
18117,What is the color of the object that is closest to the red object?,green
18342,What is the color of the object that is closest to the green object?,red
3152,What is the shape of the red object?,square
